Название помещения,Категория
Переговорная Тель Авив,Переговорные
Переговорная Алматы,Переговорные
Переговорная Санкт-Петербург,Переговорные
Кабинет Павла Лихницкого,Кабинеты
Кабинет Олега Гиацинтова,Кабинеты
Кабинет Артема Косилова,Кабинеты
Кабинет Евгения Нечипоренко,Кабинеты
Кабинет Дмитрия Финка,Кабинеты
Кухня "Женская" 2го этажа,Кухни
Кухня "Мужская" 2го этажа,Кухни
Кухня 3го этажа,Кухни
Туалет мужской на 2ом этаже,Туалеты
Туалет женский на 2ом этаже,Туалеты
Туалет мужской на 3ем этаже,Туалеты
Туалет женский на 3ем этаже,Туалеты
Принтер Reception,Принтеры
Принтер в Sales,Принтеры
Принтер в бухгалтерии,Принтеры
Принтер у HR,Принтеры
Принтер в Back office,Принтеры
Кофе-машина на "женской" кухне 2го этажа,Кофемашины
Кофе-машина на "мужской" кухне 2го этажа,Кофемашины
Кофе-машина на кухне 3го этажа,Кофемашины
