Тип проблемы,Проблема
Техническая,Проблемы с интернетом
Техническая,Проблемы с подключением к ВКС
Техническая,Проблемы с оборудованием
Обслуживание,Нет питьевой воды
Обслуживание,Необходима уборка
Техническая,Проблемы с монитором
Обслуживание,Проблемы с кулером
Обслуживание,Нет бумаги/мыла
Техническая,Закончился картридж
Техническая,Замяло бумагу
Техническая,Не работает принтер
Техническая,Подключиться к принтеру
Обслуживание,Нет воды
Обслуживание,Нет молока
Обслуживание,Нет зерен
Обслуживание,Не работает
Обслуживание,Проблемы с мебелью
Техническая,Проблемы с выводом на экран
Техническая,Нет бумаги
